threshold,precision,recall,f1,tp,fp,tn,fn,detector
0.0,0.5,1.0,0.6666666666666666,400,400,0,0,semantic_drift
0.05,0.5,1.0,0.6666666666666666,400,400,0,0,semantic_drift
0.1,0.5,1.0,0.6666666666666666,400,400,0,0,semantic_drift
0.15000000000000002,0.5,1.0,0.6666666666666666,400,400,0,0,semantic_drift
0.2,0.5,1.0,0.6666666666666666,400,400,0,0,semantic_drift
0.25,0.5,1.0,0.6666666666666666,400,400,0,0,semantic_drift
0.30000000000000004,0.49874686716791977,0.995,0.664440734557596,398,400,0,2,semantic_drift
0.35000000000000003,0.4838709677419355,0.9375,0.6382978723404256,375,400,0,25,semantic_drift
0.4,0.441340782122905,0.79,0.5663082437275986,316,400,0,84,semantic_drift
0.45,0.3895705521472393,0.635,0.4828897338403042,254,398,2,146,semantic_drift
0.5,0.3192982456140351,0.455,0.3752577319587629,182,388,12,218,semantic_drift
0.55,0.2735632183908046,0.2975,0.28502994011976046,119,316,84,281,semantic_drift
0.6000000000000001,0.28679245283018867,0.19,0.22857142857142856,76,189,211,324,semantic_drift
0.65,0.35833333333333334,0.1075,0.16538461538461538,43,77,323,357,semantic_drift
0.7000000000000001,0.5,0.06,0.10714285714285714,24,24,376,376,semantic_drift
0.75,0.7777777777777778,0.0175,0.034229828850855744,7,2,398,393,semantic_drift
0.8,1.0,0.005,0.009950248756218905,2,0,400,398,semantic_drift
0.8500000000000001,0.0,0.0,0.0,0,0,400,400,semantic_drift
0.9,0.0,0.0,0.0,0,0,400,400,semantic_drift
0.9500000000000001,0.0,0.0,0.0,0,0,400,400,semantic_drift
1.0,0.0,0.0,0.0,0,0,400,400,semantic_drift
0.0,0.5,1.0,0.6666666666666666,400,400,0,0,rolling_window_drift
0.05,0.5,1.0,0.6666666666666666,400,400,0,0,rolling_window_drift
0.1,0.5,1.0,0.6666666666666666,400,400,0,0,rolling_window_drift
0.15000000000000002,0.5,1.0,0.6666666666666666,400,400,0,0,rolling_window_drift
0.2,0.5,1.0,0.6666666666666666,400,400,0,0,rolling_window_drift
0.25,0.49937421777221525,0.9975,0.6655546288573811,399,400,0,1,rolling_window_drift
0.30000000000000004,0.49874686716791977,0.995,0.664440734557596,398,400,0,2,rolling_window_drift
0.35000000000000003,0.49874686716791977,0.995,0.664440734557596,398,400,0,2,rolling_window_drift
0.4,0.49874686716791977,0.995,0.664440734557596,398,400,0,2,rolling_window_drift
0.45,0.4981179422835634,0.9925,0.6633249791144528,397,400,0,3,rolling_window_drift
0.5,0.5031847133757962,0.9875,0.6666666666666666,395,390,10,5,rolling_window_drift
0.55,0.5138339920948617,0.975,0.6729939603106126,390,369,31,10,rolling_window_drift
0.6000000000000001,0.5345557122708039,0.9475,0.6834986474301172,379,330,70,21,rolling_window_drift
0.65,0.5791139240506329,0.915,0.7093023255813954,366,266,134,34,rolling_window_drift
0.7000000000000001,0.6536203522504892,0.835,0.7332601536772777,334,177,223,66,rolling_window_drift
0.75,0.7535014005602241,0.6725,0.7107001321003963,269,88,312,131,rolling_window_drift
0.8,0.8524590163934426,0.52,0.6459627329192547,208,36,364,192,rolling_window_drift
0.8500000000000001,0.9259259259259259,0.3125,0.4672897196261682,125,10,390,275,rolling_window_drift
0.9,0.9206349206349206,0.145,0.2505399568034557,58,5,395,342,rolling_window_drift
0.9500000000000001,0.8947368421052632,0.0425,0.081145584725537,17,2,398,383,rolling_window_drift
1.0,1.0,0.0025,0.004987531172069825,1,0,400,399,rolling_window_drift
0.0,0.5,1.0,0.6666666666666666,400,400,0,0,response_anomaly
0.05,0.49748743718592964,0.99,0.6622073578595318,396,400,0,4,response_anomaly
0.1,0.49748743718592964,0.99,0.6622073578595318,396,400,0,4,response_anomaly
0.15000000000000002,0.49748743718592964,0.99,0.6622073578595318,396,400,0,4,response_anomaly
0.2,0.49748743718592964,0.99,0.6622073578595318,396,400,0,4,response_anomaly
0.25,0.48186528497409326,0.93,0.6348122866894198,372,400,0,28,response_anomaly
0.30000000000000004,0.4773413897280967,0.79,0.5951035781544256,316,346,54,84,response_anomaly
0.35000000000000003,0.6166666666666667,0.4625,0.5285714285714286,185,115,285,215,response_anomaly
0.4,1.0,0.25,0.4,100,0,400,300,response_anomaly
0.45,1.0,0.1375,0.24175824175824176,55,0,400,345,response_anomaly
0.5,1.0,0.0675,0.12646370023419204,27,0,400,373,response_anomaly
0.55,1.0,0.01,0.019801980198019802,4,0,400,396,response_anomaly
0.6000000000000001,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.65,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.7000000000000001,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.75,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.8,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.8500000000000001,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.9,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.9500000000000001,0.0,0.0,0.0,0,0,400,400,response_anomaly
1.0,0.0,0.0,0.0,0,0,400,400,response_anomaly
0.0,0.5,1.0,0.6666666666666666,400,400,0,0,ensemble
0.05,0.5,1.0,0.6666666666666666,400,400,0,0,ensemble
0.1,0.5,1.0,0.6666666666666666,400,400,0,0,ensemble
0.15000000000000002,0.5,1.0,0.6666666666666666,400,400,0,0,ensemble
0.2,0.5,1.0,0.6666666666666666,400,400,0,0,ensemble
0.25,0.5,1.0,0.6666666666666666,400,400,0,0,ensemble
0.30000000000000004,0.49937421777221525,0.9975,0.6655546288573811,399,400,0,1,ensemble
0.35000000000000003,0.49874686716791977,0.995,0.664440734557596,398,400,0,2,ensemble
0.4,0.49748743718592964,0.99,0.6622073578595318,396,400,0,4,ensemble
0.45,0.4943109987357775,0.9775,0.6565910999160369,391,400,0,9,ensemble
0.5,0.49017038007863695,0.935,0.6431642304385211,374,389,11,26,ensemble
0.55,0.5047318611987381,0.8,0.6189555125725339,320,314,86,80,ensemble
0.6000000000000001,0.5925925925925926,0.6,0.5962732919254659,240,165,235,160,ensemble
0.65,0.7597765363128491,0.34,0.4697754749568221,136,43,357,264,ensemble
0.7000000000000001,0.9285714285714286,0.1625,0.2765957446808511,65,5,395,335,ensemble
0.75,0.8888888888888888,0.04,0.07655502392344497,16,2,398,384,ensemble
0.8,1.0,0.01,0.019801980198019802,4,0,400,396,ensemble
0.8500000000000001,0.0,0.0,0.0,0,0,400,400,ensemble
0.9,0.0,0.0,0.0,0,0,400,400,ensemble
0.9500000000000001,0.0,0.0,0.0,0,0,400,400,ensemble
1.0,0.0,0.0,0.0,0,0,400,400,ensemble
